PRICE,BEDS,BATH,PROPERTYSQFT,TYPE_Condo for sale,TYPE_House for sale,TYPE_Land for sale,TYPE_Multi-family home for sale,TYPE_Townhouse for sale,SUBLOCALITY_Kings County,SUBLOCALITY_Manhattan,SUBLOCALITY_New York,SUBLOCALITY_Queens,SUBLOCALITY_Richmond County,SUBLOCALITY_Staten Island,SUBLOCALITY_The Bronx
765000,3,4.0,2205.0,False,True,False,False,False,False,False,False,False,True,False,False
259000,1,1.0,750.0,False,False,False,False,False,False,False,False,False,False,False,False
1500000,8,3.0,3135.0,False,False,False,True,False,True,False,False,False,False,False,False
850000,2,2.0,1005.0,True,False,False,False,False,False,False,True,False,False,False,False
99000,1,1.0,2184.207862,True,False,False,False,False,False,False,False,False,False,False,False
535000,1,1.0,750.0,False,False,False,False,False,False,False,False,False,False,False,False
849998,4,2.0,2342.0,False,False,False,True,False,False,False,False,False,True,False,False
998000,5,3.0,1574.0,False,False,False,True,False,False,False,False,True,False,False,False
1500000,3,2.0,2184.207862,False,False,False,True,False,True,False,False,False,False,False,False
875000,6,3.0,2860.0,False,False,False,True,False,False,False,False,False,False,False,True
2350000,1,2.0,1144.0,True,False,False,False,False,False,False,True,False,False,False,False
850000,5,2.0,1908.0,False,False,False,True,False,False,False,False,False,False,False,True
1200000,3,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
12000000,4,4.0,3809.0,True,False,False,False,False,False,False,True,False,False,False,False
1300000,2,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
339000,3,1.0,250.0,False,False,False,False,False,False,False,True,False,False,False,False
875000,7,5.0,2680.0,False,False,False,True,False,False,False,False,False,False,False,True
799000,7,2.0,2296.0,False,False,False,True,False,False,False,False,False,False,False,True
799000,7,2.0,2296.0,False,False,False,True,False,False,False,False,False,False,False,True
285000,2,1.0,1380.0,False,True,False,False,False,False,False,False,True,False,False,False
2499000,5,4.0,1340.0,False,False,False,True,False,True,False,False,False,False,False,False
795000,4,2.0,1440.0,False,False,False,False,True,False,False,True,False,False,False,False
1799995,2,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
250000,3,2.3738608579684373,1224.0,False,True,False,False,False,False,False,False,True,False,False,False
699900,3,2.0,1470.0,False,True,False,False,False,False,False,False,False,True,False,False
5295000,4,4.0,4600.0,False,False,False,False,True,True,False,False,False,False,False,False
2265000,2,2.0,1123.0,True,False,False,False,False,False,False,True,False,False,False,False
459000,2,1.0,950.0,False,False,False,False,False,False,False,False,True,False,False,False
1369000,4,2.3738608579684373,2900.0,False,False,False,True,False,False,False,False,False,True,False,False
879000,4,2.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
559000,1,1.0,679.0,True,False,False,False,False,False,True,False,False,False,False,False
869888,4,3.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
799888,3,2.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
749000,4,1.0,1040.0,False,True,False,False,False,False,False,False,False,True,False,False
499000,2,3.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
1295000,3,4.0,2193.0,False,True,False,False,False,False,False,True,False,False,False,False
400000,2,2.0,1150.0,False,False,False,False,False,False,False,False,False,False,False,True
699999,6,2.3738608579684373,2184.207862,False,False,False,True,False,False,False,False,False,False,False,True
289000,1,1.0,666.0,True,False,False,False,False,False,False,False,False,False,False,False
699000,1,1.0,616.0,True,False,False,False,False,False,False,False,False,False,False,False
5800,3,2.3738608579684373,2184.207862,False,False,True,False,False,False,False,False,False,False,False,False
1355000,2,2.0,1002.0,True,False,False,False,False,False,False,False,False,False,False,False
1225000,2,2.0,882.0,True,False,False,False,False,False,False,False,False,False,False,False
105000,3,1.0,656.0,False,False,False,False,False,False,False,False,False,False,False,True
300000,3,1.0,952.0,False,True,False,False,False,False,False,True,False,False,False,False
799000,5,3.0,2400.0,False,False,False,True,False,False,False,False,False,False,False,True
202000,2,1.0,1453.0,False,False,False,False,False,False,False,False,True,False,False,False
600000,5,2.0,2184.207862,False,True,False,False,False,True,False,False,False,False,False,False
599000,3,1.0,1200.0,False,False,False,False,False,False,False,False,False,False,False,False
235000,2,1.0,860.0,True,False,False,False,False,False,False,False,False,False,True,False
319000,3,1.0,960.0,False,False,False,False,False,False,False,False,True,False,False,False
1088888,4,2.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
1250000,4,4.0,3300.0,False,True,False,False,False,False,False,False,False,True,False,False
650000,3,2.3738608579684373,2184.207862,False,False,True,False,False,True,False,False,False,False,False,False
774888,3,2.0,960.0,False,True,False,False,False,False,False,False,False,True,False,False
105509,1,1.0,650.0,False,False,False,False,False,False,False,False,False,False,False,True
995000,5,2.0,2184.207862,False,False,False,True,False,True,False,False,False,False,False,False
995000,5,2.0,2184.207862,False,False,False,True,False,True,False,False,False,False,False,False
769000,4,2.0,1728.0,False,True,False,False,False,False,False,False,False,False,False,True
395995,2,1.0,1100.0,False,False,False,False,False,False,False,False,False,False,False,True
499999,2,1.0,1744.0,False,True,False,False,False,False,False,False,False,False,False,True
1649000,2,2.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
365000,2,1.0,2184.207862,False,False,False,False,False,False,False,False,True,False,False,False
